Grambank ID,Abbreviation,Question,Proto-language,Finding from Historical Linguistics,Historical Linguistics sources
GB409,Ergative,Is there any ergative alignment of flagging?,Proto-Central Pacific,Present,\citet[1]{kikusawa2002proto}
GB410,NeutralAlign,Is there any neutral alignment of flagging?,Proto-Central Pacific,Present,\citet[147]{kikusawa2002proto}
GB147,PassiveBoundV,Is there a morphological passive marked on the lexical verb?,Proto-Eastern Polynesian,Present,"\citet[108]{clark1976aspects}, \citet[139]{pawley1973some}, \citet[350]{pawley1970change}"
GB408,Accusative,Is there any accusative alignment of flagging?,Proto-Eastern Polynesian,Present,\citet[106-107]{clark1976aspects}
GB409,Ergative,Is there any ergative alignment of flagging?,Proto-Eastern Polynesian,Absent,\citet[106-107]{clark1976aspects}
GB147,PassiveBoundV,Is there a morphological passive marked on the lexical verb?,Proto-Oceanic,Absent,\citet[533]{ross2004morphosyntactic}
GB408,Accusative,Is there any accusative alignment of flagging?,Proto-Oceanic,Present,"\citet[167]{pawley1973some}, \citet[498]{ross2004morphosyntactic}"
GB409,Ergative,Is there any ergative alignment of flagging?,Proto-Oceanic,Absent,\citet[496]{ross2004morphosyntactic}
GB147,PassiveBoundV,Is there a morphological passive marked on the lexical verb?,Proto-Polynesian,Present,\cite[261-261]{chung1978}
GB408,Accusative,Is there any accusative alignment of flagging?,Proto-Polynesian,Absent,\citet[106-107]{clark1976aspects}
GB408,Accusative,Is there any accusative alignment of flagging?,Proto-Polynesian,Present,\cite[261-261]{chung1978}
GB409,Ergative,Is there any ergative alignment of flagging?,Proto-Polynesian,Present,\citet[106-107]{clark1976aspects}
GB409,Ergative,Is there any ergative alignment of flagging?,Proto-Polynesian,Absent,\cite[261-261]{chung1978}
