Feature_ID	Proto-language	Language_ID	Prediction	Historical Linguistics sources
GB409	Proto-Central Pacific	cent2060	1	\citet[1]{kikusawa2002proto}
GB071	Proto-Central Pacific	cent2060	0	\citet[1]{kikusawa2002proto}
GB073	Proto-Central Pacific	cent2060	0	\citet[1]{kikusawa2002proto}
GB133	Proto-Central Pacific	cent2060	0	\citet[122]{kikusawa2002proto}
GB131	Proto-Central Pacific	cent2060	1	\citet[122]{kikusawa2002proto}
GB130	Proto-Central Pacific	cent2060	2	\citet[122]{kikusawa2002proto}
GB132	Proto-Central Pacific	cent2060	0	\citet[122]{kikusawa2002proto}
GB410	Proto-Central Pacific	cent2060	1	\citet[147]{kikusawa2002proto}
GB520	Proto-Central Pacific	cent2060	1	\citet[347]{pawley1970change}
GB521	Proto-Central Pacific	cent2060	1	\citet[347]{pawley1970change}
GB079	Proto-Central Pacific	cent2060	1	\citet[352]{pawley1970change}
GB155	Proto-Central Pacific	cent2060	1	\citet[352]{pawley1970change}
GB113	Proto-Central Pacific	cent2060	1	\citet[352]{pawley1970change}, \citet[4]{marck2000_encyclo}
GB115	Proto-Central Pacific	cent2060	1	\citet[352]{pawley1970change}, \citet[83]{lynchrosscrowley_proto_grammar_oceanic}
GB020	Proto-Central Pacific	cent2060	NA	NA
GB021	Proto-Central Pacific	cent2060	NA	NA
GB022	Proto-Central Pacific	cent2060	NA	NA
GB023	Proto-Central Pacific	cent2060	NA	NA
GB024	Proto-Central Pacific	cent2060	NA	NA
GB025	Proto-Central Pacific	cent2060	NA	NA
GB026	Proto-Central Pacific	cent2060	NA	NA
GB027	Proto-Central Pacific	cent2060	NA	NA
GB028	Proto-Central Pacific	cent2060	NA	NA
GB030	Proto-Central Pacific	cent2060	NA	NA
GB031	Proto-Central Pacific	cent2060	NA	NA
GB035	Proto-Central Pacific	cent2060	NA	NA
GB036	Proto-Central Pacific	cent2060	NA	NA
GB037	Proto-Central Pacific	cent2060	NA	NA
GB038	Proto-Central Pacific	cent2060	NA	NA
GB039	Proto-Central Pacific	cent2060	NA	NA
GB041	Proto-Central Pacific	cent2060	NA	NA
GB042	Proto-Central Pacific	cent2060	NA	NA
GB043	Proto-Central Pacific	cent2060	NA	NA
GB044	Proto-Central Pacific	cent2060	NA	NA
GB046	Proto-Central Pacific	cent2060	NA	NA
GB047	Proto-Central Pacific	cent2060	NA	NA
GB048	Proto-Central Pacific	cent2060	NA	NA
GB049	Proto-Central Pacific	cent2060	NA	NA
GB051	Proto-Central Pacific	cent2060	NA	NA
GB052	Proto-Central Pacific	cent2060	NA	NA
GB053	Proto-Central Pacific	cent2060	NA	NA
GB054	Proto-Central Pacific	cent2060	NA	NA
GB057	Proto-Central Pacific	cent2060	NA	NA
GB058	Proto-Central Pacific	cent2060	NA	NA
GB059	Proto-Central Pacific	cent2060	NA	NA
GB065	Proto-Central Pacific	cent2060	NA	NA
GB068	Proto-Central Pacific	cent2060	NA	NA
GB069	Proto-Central Pacific	cent2060	NA	NA
GB070	Proto-Central Pacific	cent2060	NA	NA
GB072	Proto-Central Pacific	cent2060	NA	NA
GB074	Proto-Central Pacific	cent2060	NA	NA
GB075	Proto-Central Pacific	cent2060	NA	NA
GB080	Proto-Central Pacific	cent2060	NA	NA
GB081	Proto-Central Pacific	cent2060	NA	NA
GB082	Proto-Central Pacific	cent2060	NA	NA
GB083	Proto-Central Pacific	cent2060	NA	NA
GB084	Proto-Central Pacific	cent2060	NA	NA
GB086	Proto-Central Pacific	cent2060	NA	NA
GB089	Proto-Central Pacific	cent2060	NA	NA
GB090	Proto-Central Pacific	cent2060	NA	NA
GB091	Proto-Central Pacific	cent2060	NA	NA
GB092	Proto-Central Pacific	cent2060	NA	NA
GB093	Proto-Central Pacific	cent2060	NA	NA
GB094	Proto-Central Pacific	cent2060	NA	NA
GB095	Proto-Central Pacific	cent2060	NA	NA
GB096	Proto-Central Pacific	cent2060	NA	NA
GB098	Proto-Central Pacific	cent2060	NA	NA
GB099	Proto-Central Pacific	cent2060	NA	NA
GB103	Proto-Central Pacific	cent2060	NA	NA
GB104	Proto-Central Pacific	cent2060	NA	NA
GB105	Proto-Central Pacific	cent2060	NA	NA
GB107	Proto-Central Pacific	cent2060	NA	NA
GB108	Proto-Central Pacific	cent2060	NA	NA
GB109	Proto-Central Pacific	cent2060	NA	NA
GB110	Proto-Central Pacific	cent2060	NA	NA
GB111	Proto-Central Pacific	cent2060	NA	NA
GB114	Proto-Central Pacific	cent2060	NA	NA
GB116	Proto-Central Pacific	cent2060	NA	NA
GB117	Proto-Central Pacific	cent2060	NA	NA
GB118	Proto-Central Pacific	cent2060	NA	NA
GB119	Proto-Central Pacific	cent2060	NA	NA
GB120	Proto-Central Pacific	cent2060	NA	NA
GB121	Proto-Central Pacific	cent2060	NA	NA
GB122	Proto-Central Pacific	cent2060	NA	NA
GB123	Proto-Central Pacific	cent2060	NA	NA
GB124	Proto-Central Pacific	cent2060	NA	NA
GB126	Proto-Central Pacific	cent2060	NA	NA
GB127	Proto-Central Pacific	cent2060	NA	NA
GB129	Proto-Central Pacific	cent2060	NA	NA
