taxon,glottocode,xd_ids,soc_ids,ABVD_ID
Agta,cent2084,xd908,B14,409
Aiwoo,ayiw1239,,,501
AklanonBisayan,akla1241,xd741,Ia18,43
Alune,alun1238,,,199
AmbaiYapen,amba1265,,,40
AmbrymSouthEast,sout2859,,,120
Anakalang,anak1240,,,320
AnejomAneityum,anei1239,,,149
Anuta,anut1237,,,253
Aputai,aput1237,,,299
ArakiSouthwestSanto,arak1252,,,465
Aria,mouk1239,,,287
As,asss1237,,,207
Asumboa,asum1237,,,353
Atoni,uabm1237,,,42
AttaPamplona,pamp1244,,,410
Avava,katb1237,,,456
Babatana,baba1268,,,44
Babuyan,ivat1242,,,289
Bajo,indo1317,xd736,"Ia13, SCCS86",489
Balangaw,bala1310,,,411
Bali,bali1278,,,1
Baliledo,,,,321
BanggaiW_D,bang1368,,,2
BanjareseMalay,banj1239,,,150
Banoni,bann1247,,,4
Bantik,bant1286,,,5
Baree,pamo1252,,,208
Basai,basa1287,,,369
Belait,bela1260,,,151
BerawanLongTerawan,west2564,,,45
BigaMisool,matb1237,,,46
BikolNagaCity,cent2087,,,47
Bilibil,bilb1241,,,402
Bima,bima1247,,,14
Bintulu,bint1246,,,15
Binukid,binu1244,,,415
Bobot,bobo1254,,,16
BolaangMongondow,mong1342,,,240
Bonerate,bone1254,,,17
Bonfia,masi1266,,,194
BontokGuinaang,cent2292,,,36
BugineseSoppeng_D,bugi1244,,,48
Bugotu,bugh1239,,,37
Bukat,buka1261,,,195
Buli,buli1255,,,49
Buma,tean1237,,,355
Bunun,bunu1267,xd733,Ia10,202
BuruNamroleBay,buru1303,,,50
Buyang,emab1235,,,351
Bwaidoga,bwai1242,xd848,Ig16,51
Canala,xara1244,,,19
Carolinian,caro1242,,,201
Cebuano,cebu1242,xd735,Ia12,153
CentralAmis,amis1246,xd749,Ia9,350
CentralMasela,cent2072,,,313
Chamorro,cham1312,xd839,If8,18
ChekeHolo,chek1238,,,209
Chru,chru1239,,,406
Chuukese,chuu1238,,,175
ChuukeseAKATrukese,chuu1238,xd833,"If2, SCCS109",349
CiuliAtayal,atay1247,xd732,"Ia1, SCCS113",256
Dai,daii1240,,,308
DaweraDaweloor,dawe1237,,,307
