Glottocode	Island group
ajie1238	New Caledonia
akei1237	Central Vanuatu
amba1266	Temotu
ambl1237	Central Vanuatu
anei1239	Southern Vanuatu
anut1237	Central Pacific
aore1237	Central Vanuatu
apma1240	Central Vanuatu
arak1252	Central Vanuatu
arha1237	New Caledonia
arho1237	New Caledonia
asum1237	Temotu
aulu1238	Central Vanuatu
avok1244	Central Vanuatu
axam1237	Central Vanuatu
ayiw1239	Temotu
baet1237	Central Vanuatu
baki1244	Central Vanuatu
bala1316	New Caledonia
bier1244	Central Vanuatu
bier1246	Central Vanuatu
bign1238	Central Vanuatu
burm1263	Central Vanuatu
butm1237	Central Vanuatu
bwat1240	New Caledonia
bwen1239	Central Vanuatu
caac1237	New Caledonia
caro1242	Micronesia
cemu1238	New Caledonia
cent2058	Central Vanuatu
cham1312	Micronesia
chuu1238	Micronesia
daka1243	Central Vanuatu
dehu1237	New Caledonia
dixo1238	Central Vanuatu
dumb1241	New Caledonia
east2443	Central Vanuatu
east2447	Central Pacific
emae1237	Central Pacific
eton1255	Central Vanuatu
fort1240	Central Vanuatu
futu1245	Central Pacific
fwai1237	New Caledonia
gilb1244	Micronesia
gone1237	Central Pacific
haek1239	New Caledonia
hano1246	Central Vanuatu
have1241	New Caledonia
hawa1245	Central Pacific
hiww1237	Northern Vanuatu
hmwa1243	New Caledonia
iaai1238	New Caledonia
ifoo1237	Southern Vanuatu
jawe1237	New Caledonia
kada1285	Central Pacific
kapi1249	Central Pacific
katb1237	Central Vanuatu
koro1308	Northern Vanuatu
kosr1238	Micronesia
kuma1276	New Caledonia
kwam1252	Southern Vanuatu
labo1244	Central Vanuatu
lako1245	Northern Vanuatu
lame1260	Central Vanuatu
lare1249	Central Vanuatu
laua1243	Central Pacific
leha1243	Northern Vanuatu
leha1244	Northern Vanuatu
lele1267	Central Vanuatu
leme1238	Northern Vanuatu
lena1238	Southern Vanuatu
lete1241	Central Vanuatu
lewo1242	Central Vanuatu
ling1265	Central Vanuatu
litz1237	Central Vanuatu
loma1261	Central Pacific
lonw1238	Central Vanuatu
lore1244	Central Vanuatu
loto1240	Northern Vanuatu
maee1241	Central Vanuatu
mafe1237	Central Vanuatu
maii1238	Central Vanuatu
malf1237	Central Vanuatu
malo1243	Central Vanuatu
malu1245	Central Vanuatu
mang1401	Central Pacific
maor1246	Central Pacific
mapi1250	Micronesia
mara1399	Central Vanuatu
mari1426	Central Vanuatu
mars1254	Micronesia
mask1242	Central Vanuatu
mele1250	Central Pacific
mere1242	Central Vanuatu
merl1237	Northern Vanuatu
moki1238	Micronesia
mori1267	Central Pacific
moro1286	Central Vanuatu
mort1237	Micronesia
mota1237	Northern Vanuatu
motl1237	Northern Vanuatu
mpot1241	Central Vanuatu
nalo1235	Temotu
nama1268	Central Vanuatu
namo1247	Micronesia
namo1248	Central Pacific
nang1262	Temotu
nara1263	Central Vanuatu
nasa1240	Central Vanuatu
nasv1234	Central Vanuatu
nati1244	Central Vanuatu
natu1246	Temotu
naur1243	Micronesia
navu1237	Central Vanuatu
navw1234	Central Vanuatu
neku1237	New Caledonia
nemi1240	New Caledonia
neng1238	New Caledonia
nese1235	Central Vanuatu
ngul1236	Micronesia
nisv1234	Central Vanuatu
niti1249	Central Vanuatu
niua1240	Central Pacific
niua1241	Central Pacific
niue1239	Central Pacific
noku1237	Central Vanuatu
nort2836	Central Vanuatu
nort2839	Central Vanuatu
nort2843	Central Pacific
nort2845	Central Pacific
nort2847	Southern Vanuatu
nuku1258	Central Pacific
nuku1259	Central Pacific
nuku1260	Central Pacific
nume1241	Northern Vanuatu
nume1242	New Caledonia
nyal1254	New Caledonia
onto1237	Central Pacific
orko1234	Central Vanuatu
orow1242	New Caledonia
paaf1237	Micronesia
paam1238	Central Vanuatu
paic1239	New Caledonia
pala1344	Micronesia
penr1237	Central Pacific
piam1242	Central Vanuatu
pije1237	New Caledonia
pile1238	Central Pacific
ping1243	Micronesia
pohn1238	Micronesia
poll1238	Micronesia
polo1242	Central Vanuatu
port1285	Central Vanuatu
port1286	Central Vanuatu
puka1242	Central Pacific
pulu1242	Micronesia
pwaa1237	New Caledonia
pwap1237	New Caledonia
raiv1237	Central Pacific
raka1237	Central Pacific
rapa1244	Central Pacific
rapa1245	Central Pacific
raro1241	Central Pacific
renn1242	Central Pacific
rere1240	Central Vanuatu
rima1237	Central Pacific
rori1237	Central Vanuatu
rotu1241	Central Pacific
ruru1237	Central Pacific
saaa1241	Central Vanuatu
saka1289	Central Vanuatu
samo1305	Central Pacific
sata1237	Micronesia
seke1241	Central Vanuatu
shar1244	Central Vanuatu
siee1239	Southern Vanuatu
sika1261	Central Pacific
