Glottocode	Smallest_Island_group	Smallest_Island_group_main	Language_name	Glottocode_language_level	level	country_ids	Near_Remote_Oceania	Subsubgroupings	Oceania_subregion	Boxplot_groups	Abberancy_group	Macroarea	desc_status	Island group	Latitude	Longitude	Family_name	boxplot_color	Abberancy_group_color
ajie1238	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Ajië	ajie1238	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	grammar	Kanaky (New Caledonia main island)	-21.3029	165.468	Austronesian	#4daf4a	#ff8a2b
akei1237	Santo	Santo	Akei	akei1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar_sketch	Santo	-15.6377	166.767	Austronesian	#984ea3	#4daf4a
amba1266	Utupua	Utupua	Amba (Solomon Islands)	amba1266	language	SB	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Temotu	Papunesia	wordlist	Utupua	-11.2958	166.498	Austronesian	#984ea3	NA
ambl1237	Santo	Santo	Amblong	ambl1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Santo	-15.5169	166.95	Austronesian	#984ea3	#4daf4a
anei1239	Aneityum	Aneityum	Aneityum	anei1239	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Southern Vanuatu	Papunesia	grammar	Aneityum	-20.1864	169.825	Austronesian	#984ea3	NA
anut1237	Anuta	Anuta	Anuta	anut1237	language	SB	Remote Oceania	Polynesian Outlier	Polynesia	Central Pacific	Central Pacific	Papunesia	grammar_sketch	Anuta	-11.61	169.85	Austronesian	#377eb8	#e41a1c
aore1237	Aore	Aore	Aore	aore1237	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Aore	-15.5753	167.166	Austronesian	#984ea3	#4daf4a
apma1240	Pentecost	Pentecost	Apma	apma1240	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Pentecost	-15.8559	168.189	Austronesian	#984ea3	#4daf4a
arak1252	Araki	Araki	Araki	arak1252	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	grammar	Santo	-15.632997	166.952542	Austronesian	#984ea3	#4daf4a
arha1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Arhâ	arha1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-21.2866	165.273	Austronesian	#4daf4a	#ff8a2b
arho1237	Kanaky (New Caledonia main island)	Kanaky (New Caledonia main island)	Arhö	arho1237	language	NC	Remote Oceania	New Caledonia	Melanesia	New Caledonia	New Caledonia	Papunesia	specific_feature	Kanaky (New Caledonia main island)	-21.3183	165.161	Austronesian	#4daf4a	#ff8a2b
asum1237	Utupua	Utupua	Asumboa	asum1237	language	SB	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Temotu	Papunesia	wordlist	Utupua	-11.2969	166.499	Austronesian	#984ea3	NA
aulu1238	Malakula	Malakula	Aulua	aulu1238	language	VU	Remote Oceania	Vanuatu plus Santa Cruz and Reef	Melanesia	Vanuatu and Temotu	Central Vanuatu	Papunesia	wordlist	Malakula	-16.3579	167.697	Austronesian	#984ea3	#4daf4a
