glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Half	Half	Half	Present	Present	Present	Absent		GB024a	Proto-Oceanic	0.5	0.5		253	0.38735177865612647	98	0.5	0.5		0.4841269841269842	61	126	0.5	0.5	126	0.4841269841269842	61		1.3874701728680514e-4	0.9998612529827132	0.38735177865612647	98	253		0.161327691493188	0.838672308506812	0.4841269841269842	61		126		126	61	0.4841269841269842	0.11549430229991468	0.8845056977000854	253	98	0.6126482213438735	0.38735177865612647	0.38735177865612647		253	155	98	0.38735177865612647	
Half	Present	Present	Present	Present	Present	Half		GB024a	Proto-Central Pacific	0.5	0.5		253	0.38735177865612647	98	0.2	0.8		0.4841269841269842	61	126	0.2012142857142857	0.7987857142857143	126	0.4841269841269842	61		0.0069680268516371	0.9930319731483628	0.38735177865612647	98	253		0.06038541692806848	0.9396145830719316	0.4841269841269842	61		126		126	61	0.4841269841269842	0.06212979393013913	0.9378702060698608	253	98	0.4545454545454546	0.5454545454545454	0.38735177865612647		253	155	98	0.38735177865612647	
Absent	Absent	Absent	Present	Present	Present	Half		GB024a	Proto-Polynesian	0.6666666666666666	0.3333333333333333		253	0.38735177865612647	98	1	0		0.4841269841269842	61	126	0.9307287157287156	0.06927128427128426	126	0.4841269841269842	61		0.01157439369119496	0.9884256063088048	0.38735177865612647	98	253		0.11150244039816191	0.8884975596018381	0.4841269841269842	61		126		126	61	0.4841269841269842	0.16984903851102331	0.8301509614889767	253	98	0.4666666666666667	0.5333333333333333	0.38735177865612647		253	155	98	0.38735177865612647	
Present	Present	Present	Present	Present	Present	Present		GB024a	Proto-Eastern Polynesian	0	1		253	0.38735177865612647	98	0	1		0.4841269841269842	61	126	0.03599999999999997	0.964	126	0.4841269841269842	61		0.03257988355375237	0.9674201164462476	0.38735177865612647	98	253		0.04247227494978514	0.9575277250502148	0.4841269841269842	61		126		126	61	0.4841269841269842	0.00677943711752226	0.9932205628824776	253	98	0.1111111111111111	0.8888888888888888	0.38735177865612647		253	155	98	0.38735177865612647	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Oceanic	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.00499999999999999	0.995	126	0.3888888888888889	49		0.06009333199774569	0.9399066680022544	0.31225296442687744	79	253		0.16846203496132411	0.8315379650386759	0.3888888888888889	49		126		126	49	0.3888888888888889	0.00655828473940431	0.9934417152605955	253	79	0.31225296442687744	0.6877470355731226	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Central Pacific	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.038	0.962	126	0.3888888888888889	49		0.20669192199210704	0.7933080780078929	0.31225296442687744	79	253		0.06980642096342418	0.9301935790365756	0.3888888888888889	49		126		126	49	0.3888888888888889	0.01963481786825643	0.9803651821317436	253	79	0.3636363636363637	0.6363636363636364	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Polynesian	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0	1	126	0.3888888888888889	49		0.03503847922507541	0.9649615207749246	0.31225296442687744	79	253		0.00427752476610115	0.9957224752338988	0.3888888888888889	49		126		126	49	0.3888888888888889	0.00283330283785044	0.9971666971621496	253	79	0.3333333333333333	0.6666666666666666	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Absent		GB024b	Proto-Eastern Polynesian	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.03500000000000001	0.965	126	0.3888888888888889	49		0.12117439525131048	0.8788256047486895	0.31225296442687744	79	253		0.00558054530925751	0.9944194546907426	0.3888888888888889	49		126		126	49	0.3888888888888889	0.03164112734702324	0.9683588726529768	253	79	0.6666666666666666	0.3333333333333333	0.31225296442687744		253	79	174	0.31225296442687744	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB025a	Proto-Oceanic	1	0	True Negative	258	0.25968992248062017	67	1	0	True Negative	0.272	34	125	1	0	125	0.272	34	True Negative	0.9978678382541788	0.00213216174582131	0.25968992248062017	67	258	True Negative	0.7642322792379541	0.235767720762046	0.272	34	True Negative	125	True Negative	125	34	0.272	0.9861574452273536	0.01384255477264631	258	67	0.7403100775193798	0.25968992248062017	0.25968992248062017	True Negative	258	191	67	0.25968992248062017	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB025a	Proto-Central Pacific	1	0		258	0.25968992248062017	67	1	0		0.272	34	125	1	0	125	0.272	34		0.9948555937691438	0.00514440623085616	0.25968992248062017	67	258		0.6975413131884701	0.3024586868115299	0.272	34		125		125	34	0.272	0.9765255744264246	0.02347442557357534	258	67	0.6060606060606061	0.3939393939393939	0.25968992248062017		258	191	67	0.25968992248062017	
