Feature_ID	ntips_ML_glottolog	zeroes_ML_glottolog	ones_ML_glottolog	min_percent_ML_glottolog	min_ML_glottolog	Proto-language	Prediction	Feature	Source (Latex)	Source	Comment	Language_ID	conflict	glottolog_ML_prediction	glottolog_ML_prediction_0	glottolog_ML_prediction_1	ML result (Glottolog-tree)	Abbreviation	Question
GB020	254	118	136	0.4645669291338583	118	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.016429079181890297	0.9835709208181097	True Positive	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Half	0.5979465531636614	0.4020534468363386	NA	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.03658653888723943	0.9634134611127605	NA	GB020 ARTDef	Are there definite or specific articles?
GB020	254	118	136	0.4645669291338583	118	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.013468765933990016	0.98653123406601	NA	GB020 ARTDef	Are there definite or specific articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.18246691688500363	0.8175330831149964	True Positive	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Absent	0.9986426944077365	0.0013573055922636035	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.9798812384610246	0.020118761538975388	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB021	237	159	78	0.3291139240506329	78	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.01841274994254264	0.9815872500574574	NA	GB021 ARTIndef	Do indefinite nominals commonly have indefinite articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Oceanic	1	NA	NA	NA	NA	NA	NA	Present	1.4022839340154523e-4	0.9998597716065984	True Positive	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Polynesian	1	NA	NA	NA	NA	NA	NA	Present	0.002213099947983385	0.9977869000520166	True Positive	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	2.2001169445212674e-4	0.9997799883055478	NA	GB022 ARTPre	Are there prenominal articles?
GB022	258	122	136	0.4728682170542636	122	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.00203940345517021	0.9979605965448298	NA	GB022 ARTPre	Are there prenominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Oceanic	0	NA	NA	NA	NA	NA	NA	Absent	0.9158907126015291	0.08410928739847091	True Negative	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Absent	0.7965958059086141	0.20340419409138588	NA	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9434530677747788	0.0565469322252213	NA	GB023 ARTPost	Are there postnominal articles?
GB023	259	201	58	0.22393822393822393	58	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Absent	0.9611234589571123	0.03887654104288775	NA	GB023 ARTPost	Are there postnominal articles?
GB024a	253	155	98	0.38735177865612647	98	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	1.3874701728680514e-4	0.9998612529827132	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.006968026851637103	0.9930319731483629	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.011574393691194963	0.9884256063088049	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024a	253	155	98	0.38735177865612647	98	Proto-Eastern Polynesian	NA	NA	NA	NA	NA	NA	NA	Present	0.032579883553752374	0.9674201164462476	NA	GB024a NUMOrder_Num-N	Is the order of the numeral and noun Num-N?
GB024b	253	79	174	0.31225296442687744	79	Proto-Oceanic	NA	NA	NA	NA	NA	NA	NA	Present	0.06009333199774569	0.9399066680022543	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
GB024b	253	79	174	0.31225296442687744	79	Proto-Central Pacific	NA	NA	NA	NA	NA	NA	NA	Present	0.20669192199210706	0.7933080780078929	NA	GB024b NUMOrder_N-Num	Is the order of the numeral and noun N-Num?
