Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB020	Proto-Central Pacific	0.4361204355791056	0.5638795644208944	129	51	0.3953488372093023	Half	NA	NA
GB020	Proto-Eastern Polynesian	0.006661350291837553	0.9933386497081624	129	51	0.3953488372093023	Present	NA	NA
GB020	Proto-Oceanic	0.9593465203596584	0.040653479640341585	129	51	0.3953488372093023	Absent	NA	NA
GB020	Proto-Polynesian	0.017266119006570615	0.9827338809934294	129	51	0.3953488372093023	Present	1	True Positive
GB021	Proto-Central Pacific	0.8808342522332127	0.1191657477667873	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Eastern Polynesian	0.001976303573509471	0.9980236964264905	116	42	0.3620689655172414	Present	NA	NA
GB021	Proto-Oceanic	0.9990445919495989	9.55408050401047e-4	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Polynesian	0.01579994093286076	0.9842000590671393	116	42	0.3620689655172414	Present	1	True Positive
GB022	Proto-Central Pacific	0.37764322628232094	0.6223567737176791	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Eastern Polynesian	6.576747317198613e-5	0.999934232526828	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Oceanic	0.9881906202246974	0.011809379775302609	130	49	0.3769230769230769	Absent	1	False Negative
GB022	Proto-Polynesian	0.006275503467476157	0.9937244965325238	130	49	0.3769230769230769	Present	1	True Positive
GB023	Proto-Central Pacific	0.8013888556914298	0.19861114430857024	129	25	0.19379844961240308	Absent	NA	NA
GB023	Proto-Eastern Polynesian	0.9945580275384704	0.0054419724615295244	129	25	0.19379844961240308	Absent	NA	NA
GB023	Proto-Oceanic	0.7782868240104747	0.2217131759895253	129	25	0.19379844961240308	Absent	0	True Negative
GB023	Proto-Polynesian	0.983254008483953	0.01674599151604707	129	25	0.19379844961240308	Absent	NA	NA
GB024a	Proto-Central Pacific	0.06212979393013913	0.9378702060698608	126	61	0.4841269841269842	Present	NA	NA
GB024a	Proto-Eastern Polynesian	0.006779437117522265	0.9932205628824777	126	61	0.4841269841269842	Present	NA	NA
GB024a	Proto-Oceanic	0.11549430229991467	0.8845056977000854	126	61	0.4841269841269842	Present	NA	NA
GB024a	Proto-Polynesian	0.16984903851102331	0.8301509614889767	126	61	0.4841269841269842	Present	NA	NA
GB024b	Proto-Central Pacific	0.019634817868256434	0.9803651821317435	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Eastern Polynesian	0.03164112734702324	0.9683588726529767	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Oceanic	0.0065582847394043174	0.9934417152605957	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Polynesian	0.002833302837850442	0.9971666971621496	126	49	0.3888888888888889	Present	NA	NA
GB025a	Proto-Central Pacific	0.9765255744264246	0.023474425573575347	125	34	0.272	Absent	NA	NA
GB025a	Proto-Eastern Polynesian	0.09959721106046532	0.9004027889395346	125	34	0.272	Present	NA	NA
GB025a	Proto-Oceanic	0.9861574452273537	0.01384255477264631	125	34	0.272	Absent	0	True Negative
GB025a	Proto-Polynesian	0.9406673132478083	0.059332686752191784	125	34	0.272	Absent	NA	NA
GB025b	Proto-Central Pacific	0.005445272596111254	0.9945547274038887	125	19	0.152	Present	NA	NA
GB025b	Proto-Eastern Polynesian	0.007435855380688417	0.9925641446193116	125	19	0.152	Present	NA	NA
GB025b	Proto-Oceanic	0.005612197264872328	0.9943878027351277	125	19	0.152	Present	1	True Positive
GB025b	Proto-Polynesian	0.0034822656182350695	0.9965177343817649	125	19	0.152	Present	NA	NA
GB026	Proto-Central Pacific	NA	NA	116	0	0	NA	NA	NA
GB026	Proto-Eastern Polynesian	NA	NA	116	0	0	NA	NA	NA
GB026	Proto-Oceanic	NA	NA	116	0	0	NA	NA	NA
GB026	Proto-Polynesian	NA	NA	116	0	0	NA	NA	NA
GB027	Proto-Central Pacific	0.4210566813868118	0.5789433186131882	102	34	0.3333333333333333	Half	NA	NA
GB027	Proto-Eastern Polynesian	0.9094502632403363	0.09054973675966375	102	34	0.3333333333333333	Absent	NA	NA
GB027	Proto-Oceanic	0.13616852828056802	0.863831471719432	102	34	0.3333333333333333	Present	NA	NA
GB027	Proto-Polynesian	0.9690815947051797	0.03091840529482021	102	34	0.3333333333333333	Absent	NA	NA
GB028	Proto-Central Pacific	0.0013404141559990972	0.9986595858440009	132	2	0.015151515151515154	Present	NA	NA
GB028	Proto-Eastern Polynesian	3.960814784539728e-4	0.999603918521546	132	2	0.015151515151515154	Present	NA	NA
GB028	Proto-Oceanic	7.057073320669417e-4	0.999294292667933	132	2	0.015151515151515154	Present	1	True Positive
GB028	Proto-Polynesian	4.999067556978785e-4	0.9995000932443021	132	2	0.015151515151515154	Present	1	True Positive
GB030	Proto-Central Pacific	0.9959040409129941	0.004095959087005904	131	6	0.04580152671755725	Absent	NA	NA
GB030	Proto-Eastern Polynesian	0.9985573546389674	0.0014426453610325689	131	6	0.04580152671755725	Absent	NA	NA
GB030	Proto-Oceanic	0.9981923310859209	0.0018076689140790732	131	6	0.04580152671755725	Absent	0	True Negative
GB030	Proto-Polynesian	0.998228452914914	0.0017715470850860032	131	6	0.04580152671755725	Absent	NA	NA
GB031	Proto-Central Pacific	0.008641595718434373	0.9913584042815656	130	42	0.3230769230769231	Present	NA	NA
GB031	Proto-Eastern Polynesian	0.0010780599843118956	0.9989219400156881	130	42	0.3230769230769231	Present	NA	NA
GB031	Proto-Oceanic	0.016754481815483856	0.9832455181845161	130	42	0.3230769230769231	Present	1	True Positive
GB031	Proto-Polynesian	0.0027119702237819393	0.9972880297762181	130	42	0.3230769230769231	Present	1	True Positive
GB035	Proto-Central Pacific	0.2899542085066949	0.7100457914933052	112	30	0.26785714285714285	Present	NA	NA
GB035	Proto-Eastern Polynesian	0.0031097478350797176	0.9968902521649203	112	30	0.26785714285714285	Present	NA	NA
GB035	Proto-Oceanic	0.7597957518009255	0.24020424819907452	112	30	0.26785714285714285	Absent	1	False Negative
GB035	Proto-Polynesian	0.009587145424407476	0.9904128545755926	112	30	0.26785714285714285	Present	1	True Positive
GB036	Proto-Central Pacific	0.960951419886189	0.03904858011381093	111	8	0.07207207207207207	Absent	NA	NA
