Language_ID	aes	category	classification	level	med	medovertime	subclassification	Name	Macroarea	Latitude	Longitude	Glottocode	ISO639P3code	Countries	Family_ID	Language_level_ID
abad1241	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/papu1253/peri1258/cent2070/west2850	language	grammar_sketch	[""""Oa, Morea and Paul, Ma'oni. 2013. Tentative Grammar Description for the Gabadi Language. Ms. 40pp."""", 'Kassell, Alison and Potter, Margaret. 2011. A Sociolinguistic Profile of the Abadi Language Group. (SIL Electronic Survey Reports 2011-030.) Dallas, Texas: SIL International. 59pp.', 'Anonymous, {}. 1895. Vocabulary of the Kabadi dialect, British New Guinea. Annual Report of British New Guinea 1893-1894. 107-116.', 'J. P. Thomson. 1892. British New Guinea. London: George Philip & Son. xviii+336pp.', 'Zöller, Hugo. 1891. Deutsch-Neuguinea und meine ersteigung des Finisterre-Gebirges. Stuttgart: Union Deutsche Verlagsgesellschaft. xxxii+546pp.', 'Lawes, W. G. 1890. Comparative view of New Guinea dialects. Annual Report of British New Guinea 1889-1890. 158-167.']	abad1241:1;	Abadi	Papunesia	-9.03389	146.992	abad1241	kbt	PG	aust1307	abad1241
adze1240	threatened	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/huon1245/mark1257/uppe1423	language	grammar_sketch	['Susanne Holzknecht. 1986. A Morphology and Grammar of Adzera (Amari Dialect), Morobe Province, Papua New Guinea. In Papers in New Guinea Linguistics 24, 77-166. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'Bruce A. Hooley. 1971. Austronesian Languages of the Morobe District, Papua New Guinea. Oceanic Linguistics 10. 79-151.', 'Schmitz, Carl A. 1960. Historische Probleme in Nordost-Neuguinea, Huon Halbinsel. (Studien zur Kulturkunde, 16.) Wiesbaden: Franz Steiner. viii+441pp.', 'Read, K. E. 1950. The Political System of the Ngarawapum. Oceania 20. 183-223.', 'Read, K. E. 1946. Social Organization in the Markham Valley. Oceania 17. 93-118.']	adze1240:1;	Adzera	Papunesia	-6.39394	146.294	adze1240	adz	PG	aust1307	adze1240
aigh1235	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/pasi1254	language	wordlist_or_less	['MacKenzie, Bonnie and Spencer, Juliann and Van Cott, Sara. 2013. A Sociolinguistic Survey of Bebeli. (SIL Electronic Survey Reports 2013-003.) Dallas, Texas: SIL International. 96pp.', 'Ann Chowning. 1985. Rapid lexical change and aberrant Melanesian languages: Sengseng and its neighbours. In Andrew K. Pawley and Lois Carrington (eds.), Austronesian linguistics at the 15th pacific science congress, 169-198. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'Chowning, Ann. 1969. The Austronesian languages of New Britain. In Papers in linguistics of Melanesia No.~2, 17-46. Canberra: Research School of Pacific and Asian Studies, Australian National University.']	(aigo1239:1,apso1237:1,baoo1237:1)aigh1235:1;	Aighon	Papunesia	-5.99488	150.272	aigh1235	aix	PG	aust1307	aigh1235
aikl1237	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/west2530	language	wordlist_or_less	['MacKenzie, Bonnie and Spencer, Juliann and Van Cott, Sara. 2013. A Sociolinguistic Survey of Bebeli. (SIL Electronic Survey Reports 2013-003.) Dallas, Texas: SIL International. 96pp.', 'E. W. P. Chinnery. 1928. Certain Natives in South New Britain and Dampier Straits. (Territory of New Guinea Anthropological Report, 3.) Melbourne: H. J. Green, Government Printer. 95pp.']	aikl1237:1;	Aiklep	Papunesia	-6.23575	149.571	aikl1237	mwg	PG	aust1307	aikl1237
ajie1238	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/newc1243/main1286/sout3313/mids1246/houa1234	language	long_grammar	['de la Fontinelle, Jacqueline. 1976. La langue de Houailou (Nouvelle-Calédonie): description phonologique et description syntaxique. (Langues et civilisations à tradition orale, 17.) Paris: SELAF. 383pp. (Publication of 1972 PhD U Sorbonne IV, Paris.)', """"Leenhardt, Maurice. 1935. Vocabulaire et grammaire de la langue houaïlou. (Travaux et Mémoires de l'Institut d'Ethnologie, 10.) Paris: Institut d'Ethnologie. vi+414pp."""", """"Ray, Sidney H. 1897. Petit vocabulaire du dialecte de Wailu (Nouvelle-Calédonie) redige d'apres un manuscrit anglais. Revue de Linguistique et Philologie Comparée XXX. 142-146."""", 'Patouillet, J. 1873. Trois ans en nouvelle Calédonie. Paris: E Dentu.']	ajie1238:1;	Ajië	Papunesia	-21.3029	165.468	ajie1238	aji	NC	aust1307	ajie1238
akei1237	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/west2845	language	grammar_sketch	['Sidney H. Ray. 1926. Grammar of the Tasiriki language. In A Comparative Study of the Melanesian Island Languages, 371-383. Cambridge: Cambridge University Press.']	akei1237:1;	Akei	Papunesia	-15.6377	166.767	akei1237	tsr	VU	aust1307	akei1237
akol1237	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874/araw1269/araw1283/east2763	language	wordlist_or_less	['Capell, Arthur. 1971. The Austronesian languages of Australian New Guinea. In Thomas A. Sebeok (ed.), Linguistics in Oceania, 240-340. Berlin: Mouton de Gruyter.']	akol1237:1;	Akolet	Papunesia	-6.22711	150.182	akol1237	akt	PG	aust1307	akol1237
amar1272	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/west2818/nort3206/nger1241/viti1243/sout2874	language	grammar_sketch	['William R. Thurston. 1996. Amara: An Austronesian Language of Northwestern New Britain. In Malcolm D. Ross (ed.), Studies in the Languages of New Britain and New Ireland 1: Austronesian Languages of the North New Guinea Cluster in Northwestern New Britain, 197-248. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'Georg Friederici. 1912. Wissenschaftliche Ergebnisse: einer amtlichen Forschungsreise nach dem Bismarck-Archipel im Jahre 1908: II Beiträge zur Völker- und Sprachenkunde von Deutsch-Neuguinea. (Ergänzungsheft der Mitteilungen aus den Deutschen Schutzgebieten, 5.) Berlin: Ernst Siegfried Mittler und Sohn. vi+324+ivpp.']	amar1272:1;	Amara	Papunesia	-5.55778	148.68	amar1272	aie	PG	aust1307	amar1272
amba1266	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/temo1244/utup1237/utup1238	language	wordlist_or_less	['Darrell T. Tryon and B. D. Hackman. 1983. Solomon Islands Languages: An Internal Classification. (Pacific Linguistics: Series C, 72.) Canberra: Research School of Pacific and Asian Studies, Australian National University. viii+490+19pp.', 'George W. Grace. 1956. 1955-1956 Fieldnotes: Notebook 45. Ms.']	amba1266:1;	Amba (Solomon Islands)	Papunesia	-11.2958	166.498	amba1266	utp	SB	aust1307	amba1266
ambl1237	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/sout3194	language	wordlist_or_less	['Darrell T. Tryon. 1976. New Hebrides Languages: An Internal Classification. (Pacific Linguistics: Series C, 50.) Canberra: Research School of Pacific and Asian Studies, Australian National University. v+545pp.']	ambl1237:1;	Amblong	Papunesia	-15.5169	166.95	ambl1237	alm	VU	aust1307	ambl1237
andr1248	not_endangered	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/admi1239/east2459/manu1262/east2460	language	wordlist_or_less	[""""Z'graggen, Johannes A. 1975. Comparative wordlists of the Admiralty Island languages, collected by W. E. Smythe. In Richard Loving (ed.), Comparative wordlists I, 117-216. Ukarumpa: Summer Institute of Linguistics."""", """"Miklucho-Maclay, Nikolaj N. 1951. Dialekty Ostrovkov Andra i Sorri. In A. N. Anfert'ev (ed.), Stat'i i materialy po antropologii i ètnografii narodov Okeanii, 324-325. Moscow: Nauka.""""]	andr1248:1;	Andra-Hus	Papunesia	-2.05894	147.085	andr1248	anx	PG	aust1307	andr1248
anei1239	shifting	Spoken_L1_Language	aust1307/mala1545/cent2237/east2712/ocea1241/sout3173/sout2868	language	grammar	['John Lynch. 2000. A Grammar of Anejom̃. (Pacific Linguistics, 507.) Canberra: Research School of Pacific and Asian Studies, Australian National University. xiii+180pp.', 'John Lynch. 1982. Anejom Grammar Sketch. In Papers in Linguistics in Melanesia 4, 93-154. Canberra: Research School of Pacific and Asian Studies, Australian National University.', 'Inglis, John. 1882. A dictionary of the Aneityumese language.: In two parts. 1. Aneityumese and English. 2. English and Aneityumese. Also outlines of Aneityumese grammar. Edinburgh: London. xxx+31-200pp.', """"Murray, A. W. 1876. Forty Years' Mission Work in Polynesia and New Guinea from 1835 to 1875. London: J.~Nisbet. 561pp."""", 'von der Gabelentz, Hans Conor. 1861. Die Melanesischen Sprachen nach ihrem grammatischen Bau und ihrer Verwandtschaft unter sich und mit den Malaiisch-Polynesischen Sprachen. (Abhandlungen der Philologisch-Historischen Klasse der Königlichen Sächsischen Gesellschaft der Wissenschaften, 8.) Leipzig: S. Hirzel. 278pp.']	anei1239:1;	Aneityum	Papunesia	-20.1864	169.825	anei1239	aty	VU	aust1307	anei1239
