glottolog_parsimony_prediction	gray_mcct_parsimony_prediction	gray_posteriors_parsimony_prediction	glottolog_ML_prediction	gray_mcct_ML_prediction	gray_posteriors_ML_prediction	most_common_prediction	HL_prediction	Feature_ID	Proto-language	glottolog_parsimony_prediction_0	glottolog_parsimony_prediction_1	Parsimony result (Glottolog-tree)	ntips_parsimony_glottolog	min_percent_parsimony_glottolog	min_parsimony_glottolog	gray_mcct_parsimony_prediction_0	gray_mcct_parsimony_prediction_1	Parsimony result (Gray et al 2009-tree)	min_percent_parsimony_gray	min_parsimony_gray	ntips_parsimony_gray	gray_posteriors_parsimony_prediction_0	gray_posteriors_parsimony_prediction_1	ntips_parsimony_gray_posteriors	min_percent_parsimony_gray_posteriors	min_parsimony_gray_posteriors	Parsimony result (Gray et al 2009-tree posteriors)	glottolog_ML_prediction_0	glottolog_ML_prediction_1	min_percent_ML_glottolog	min_ML_glottolog	ntips_ML_glottolog	ML result (Glottolog-tree)	gray_mcct_ML_prediction_0	gray_mcct_ML_prediction_1	min_percent_ML_gray	min_ML_gray	ML result (Gray et al 2009-tree)	ntips_ML_gray	ML result (Gray et al 2009-tree posteriors)	ntips_ML_gray_posteriors	min_ML_gray_posteriors	min_percent_ML_gray_posteriors	gray_posteriors_ML_prediction_0	gray_posteriors_ML_prediction_1	ntip_most_common	min_most_common	most_common_prediction_0	most_common_prediction_1	min_percent_most_common	result_most_common	ntips	zeroes_total	ones_total	min_percent	conflict
Half	Half	Half	Present	Present	Present	Absent		GB024a	Proto-Oceanic	0.5	0.5		253	0.38735177865612647	98	0.5	0.5		0.4841269841269842	61	126	0.5	0.5	126	0.4841269841269842	61		1.3868948301037006e-4	0.9998613105169896	0.38735177865612647	98	253		0.16132769149318812	0.8386723085068118	0.4841269841269842	61		126		126	61	0.4841269841269842	0.11549142737221944	0.8845085726277806	253	98	0.6126482213438735	0.38735177865612647	0.38735177865612647		253	155	98	0.38735177865612647	
Half	Present	Present	Present	Present	Present	Half		GB024a	Proto-Central Pacific	0.5	0.5		253	0.38735177865612647	98	0.2	0.8		0.4841269841269842	61	126	0.2017142857142857	0.7982857142857143	126	0.4841269841269842	61		0.0069652158643442	0.9930347841356556	0.38735177865612647	98	253		0.06038541692806853	0.9396145830719316	0.4841269841269842	61		126		126	61	0.4841269841269842	0.06213139220505486	0.9378686077949452	253	98	0.4545454545454546	0.5454545454545454	0.38735177865612647		253	155	98	0.38735177865612647	
Absent	Absent	Absent	Present	Present	Present	Half		GB024a	Proto-Polynesian	0.6666666666666666	0.3333333333333333		253	0.38735177865612647	98	1	0		0.4841269841269842	61	126	0.9307287157287156	0.06927128427128428	126	0.4841269841269842	61		0.01157018071498197	0.988429819285018	0.38735177865612647	98	253		0.11150244039816191	0.8884975596018381	0.4841269841269842	61		126		126	61	0.4841269841269842	0.1698506059461941	0.830149394053806	253	98	0.4666666666666667	0.5333333333333333	0.38735177865612647		253	155	98	0.38735177865612647	
Present	Present	Present	Present	Present	Present	Present		GB024a	Proto-Eastern Polynesian	0	1		253	0.38735177865612647	98	0	1		0.4841269841269842	61	126	0.036	0.964	126	0.4841269841269842	61		0.0325722971049881	0.967427702895012	0.38735177865612647	98	253		0.04247227494978511	0.9575277250502148	0.4841269841269842	61		126		126	61	0.4841269841269842	0.00677945222608024	0.9932205477739198	253	98	0.1111111111111111	0.8888888888888888	0.38735177865612647		253	155	98	0.38735177865612647	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Oceanic	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.005	0.995	126	0.3888888888888889	49		0.06009333199774569	0.9399066680022544	0.31225296442687744	79	253		0.1684620349613233	0.8315379650386767	0.3888888888888889	49		126		126	49	0.3888888888888889	0.00656116755080453	0.9934388324491956	253	79	0.31225296442687744	0.6877470355731226	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Central Pacific	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.038	0.962	126	0.3888888888888889	49		0.20669192199210704	0.7933080780078929	0.31225296442687744	79	253		0.06980642096342375	0.9301935790365762	0.3888888888888889	49		126		126	49	0.3888888888888889	0.01963781507666637	0.9803621849233336	253	79	0.3636363636363637	0.6363636363636364	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Present		GB024b	Proto-Polynesian	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0	1	126	0.3888888888888889	49		0.03503847922507541	0.9649615207749246	0.31225296442687744	79	253		0.00427752476610112	0.9957224752338988	0.3888888888888889	49		126		126	49	0.3888888888888889	0.00283379150684476	0.9971662084931552	253	79	0.3333333333333333	0.6666666666666666	0.31225296442687744		253	79	174	0.31225296442687744	
Present	Present	Present	Present	Present	Present	Absent		GB024b	Proto-Eastern Polynesian	0	1		253	0.31225296442687744	79	0	1		0.3888888888888889	49	126	0.035	0.965	126	0.3888888888888889	49		0.12117439525131048	0.8788256047486895	0.31225296442687744	79	253		0.0055805453092575	0.9944194546907426	0.3888888888888889	49		126		126	49	0.3888888888888889	0.03164371406941104	0.968356285930589	253	79	0.6666666666666666	0.3333333333333333	0.31225296442687744		253	79	174	0.31225296442687744	
Absent	Absent	Absent	Absent	Absent	Absent	Absent	Absent	GB025a	Proto-Oceanic	1	0	True Negative	258	0.25968992248062017	67	1	0	True Negative	0.272	34	125	1	0	125	0.272	34	True Negative	0.9978678382541788	0.00213216174582131	0.25968992248062017	67	258	True Negative	0.7642322792379539	0.2357677207620461	0.272	34	True Negative	125	True Negative	125	34	0.272	0.9896311052773424	0.0103688947226577	258	67	0.7403100775193798	0.25968992248062017	0.25968992248062017	True Negative	258	191	67	0.25968992248062017	
Absent	Absent	Absent	Absent	Absent	Absent	Absent		GB025a	Proto-Central Pacific	1	0		258	0.25968992248062017	67	1	0		0.272	34	125	1	0	125	0.272	34		0.9948555937691438	0.00514440623085616	0.25968992248062017	67	258		0.6975413131884698	0.3024586868115302	0.272	34		125		125	34	0.272	0.9809282518521516	0.01907174814784844	258	67	0.6060606060606061	0.3939393939393939	0.25968992248062017		258	191	67	0.25968992248062017	
