Feature_ID	Proto-language	gray_ML_prediction_0	gray_ML_prediction_1	ntips_ML_gray	min_ML_gray	min_percent_ML_gray	gray_ML_prediction	Prediction	ML result (Gray et al 2009-tree posteriors)
GB020	Proto-Central Pacific	0.43612091623086324	0.5638790837691368	129	51	0.3953488372093023	Half	NA	NA
GB020	Proto-Eastern Polynesian	0.006660073296221605	0.9933399267037784	129	51	0.3953488372093023	Present	NA	NA
GB020	Proto-Oceanic	0.9593453047465438	0.04065469525345623	129	51	0.3953488372093023	Absent	NA	NA
GB020	Proto-Polynesian	0.01726506504602329	0.9827349349539767	129	51	0.3953488372093023	Present	1	True Positive
GB021	Proto-Central Pacific	0.8808349863265835	0.11916501367341648	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Eastern Polynesian	0.0019762189675058095	0.9980237810324942	116	42	0.3620689655172414	Present	NA	NA
GB021	Proto-Oceanic	0.9990446812021045	9.553187978954812e-4	116	42	0.3620689655172414	Absent	NA	NA
GB021	Proto-Polynesian	0.01579949907945036	0.9842005009205497	116	42	0.3620689655172414	Present	1	True Positive
GB022	Proto-Central Pacific	0.3776462323217959	0.622353767678204	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Eastern Polynesian	6.57600505366348e-5	0.9999342399494634	130	49	0.3769230769230769	Present	NA	NA
GB022	Proto-Oceanic	0.9881929902769397	0.011807009723060202	130	49	0.3769230769230769	Absent	1	False Negative
GB022	Proto-Polynesian	0.006275454077619618	0.9937245459223804	130	49	0.3769230769230769	Present	1	True Positive
GB023	Proto-Central Pacific	0.8013810575962238	0.19861894240377623	129	25	0.1937984496124031	Absent	NA	NA
GB023	Proto-Eastern Polynesian	0.9945586988214489	0.005441301178551086	129	25	0.1937984496124031	Absent	NA	NA
GB023	Proto-Oceanic	0.7782731922963947	0.22172680770360534	129	25	0.1937984496124031	Absent	0	True Negative
GB023	Proto-Polynesian	0.9832538725206263	0.01674612747937368	129	25	0.1937984496124031	Absent	NA	NA
GB024a	Proto-Central Pacific	0.06213139220505486	0.9378686077949452	126	61	0.48412698412698413	Present	NA	NA
GB024a	Proto-Eastern Polynesian	0.006779452226080246	0.9932205477739198	126	61	0.48412698412698413	Present	NA	NA
GB024a	Proto-Oceanic	0.11549142737221943	0.8845085726277806	126	61	0.48412698412698413	Present	NA	NA
GB024a	Proto-Polynesian	0.1698506059461941	0.830149394053806	126	61	0.48412698412698413	Present	NA	NA
GB024b	Proto-Central Pacific	0.01963781507666637	0.9803621849233336	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Eastern Polynesian	0.03164371406941104	0.968356285930589	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Oceanic	0.006561167550804531	0.9934388324491955	126	49	0.3888888888888889	Present	NA	NA
GB024b	Proto-Polynesian	0.002833791506844761	0.9971662084931553	126	49	0.3888888888888889	Present	NA	NA
GB025a	Proto-Central Pacific	0.9809282518521516	0.019071748147848445	125	34	0.272	Absent	NA	NA
GB025a	Proto-Eastern Polynesian	0.10029502174426791	0.8997049782557321	125	34	0.272	Present	NA	NA
GB025a	Proto-Oceanic	0.9896311052773423	0.010368894722657705	125	34	0.272	Absent	0	True Negative
GB025a	Proto-Polynesian	0.9528533287211158	0.04714667127888417	125	34	0.272	Absent	NA	NA
GB025b	Proto-Central Pacific	0.0054454050254366506	0.9945545949745633	125	19	0.152	Present	NA	NA
GB025b	Proto-Eastern Polynesian	0.00743589530988905	0.9925641046901109	125	19	0.152	Present	NA	NA
GB025b	Proto-Oceanic	0.005612347198472347	0.9943876528015276	125	19	0.152	Present	1	True Positive
GB025b	Proto-Polynesian	0.0034824437911374468	0.9965175562088625	125	19	0.152	Present	NA	NA
